tconst	averageRating
tt0012238	6.5
tt0012248	7.0
tt0012249	7.0
tt0012281	6.8
tt0012284	6.9
tt0012293	6.3
tt0012297	9.4
tt0012298	6.9
tt0012305	6.8
tt0012313	6.8
tt0012314	6.7
tt0012317	6.9
tt0012322	5.8
tt0012328	5.2
tt0012329	6.6
tt0012334	6.9
tt0012342	6.2
tt0012344	5.9
tt0012349	8.3
tt0012350	6.5
tt0012352	6.2
tt0012358	5.0
tt0012362	6.3
tt0012364	8.1
tt0012365	5.4
tt0012366	6.9
tt0012368	6.0
tt0012380	6.0
tt0012382	6.1
tt0012397	6.7
tt0012398	7.1
tt0012405	5.3
tt0012406	6.9
tt0012408	6.5
tt0012409	6.7
tt0012410	6.9
tt0012416	7.2
tt0012422	6.8
tt0012427	6.7
tt0012434	5.7
